Actor name,Freebase actor ID,Trends score
Tom Cruise,/m/07r1h,1000000.0
Jason Statham,/m/034hyc,354927.0072992701
Ice Cube,/m/01vw26l,309306.56934306567
Albert Hall,/m/01lntp,85310.2189781022
Willem Dafoe,/m/01f7dd,74817.51824817517
Christopher Walken,/m/016fjj,61587.59124087592
Seth Green,/m/0gz5hs,27079.658915915592
Asia Argento,/m/028pzq,23750.5999299223
Matt Stone,/m/01_x6d,21514.664790076058
Pam Grier,/m/0418ft,20570.603286585425
Bob Weir,/m/02v1vq,12794.517744675715
Les Claypool,/m/0dw3l,11974.674860065428
Duane Davis,/m/03nrwdy,11336.619275409275
Natasha Henstridge,/m/0346l4,9291.552692249938
Brad William Henke,/m/02q288g,9080.798124567105
Müjde Ar,/m/04fd3kh,9043.115454489245
Peter Jason,/m/03d663h,8595.928426519997
Clea DuVall,/m/01y9xg,6707.805419538725
Annabella Sciorra,/m/0338ws,4993.58847898994
Yoshitaka Amano,/m/02149s,4496.714003468553
Gretchen Mol,/m/02l6dy,4223.433041931789
Joanna Cassidy,/m/06lj1m,3105.465472008669
Miranda July,/m/06s5pl,2417.2143052828214
Robert Carradine,/m/026qxz,2340.749895340777
John Lurie,/m/01nz7jg,2287.4954566748693
Amy French,/m/0dm38rk,2191.0010505053688
Gudrun Landgrebe,/m/09d6hv,1926.4098219485766
John Hawkes,/m/0785v8,1818.2690857964872
Miles Thompson,/m/0k0jml,1509.8658813293682
Fredric March,/m/0h1_w,1165.7402979664444
Arj Barker,/m/01qbb_,1069.2898749477704
Florence Rice,/m/041b8d,1066.9083830213833
Meiko Kaji,/m/0576kw,1021.66003642003
Lobo Sebastian,/m/0bgchsp,950.2152786284195
Melvyn Douglas,/m/015gy7,795.4183034132634
Wanda De Jesus,/m/03wcfv7,654.9102797564294
Mathieu Carrière,/m/06prxs,617.9971548974306
ZaSu Pitts,/m/01lr4p,615.6156629710437
Rod Britt,/m/0lr37gh,610.8526791182696
Tracy Wright,/m/0cc9plh,607.2804412286893
Anne Krigsvoll,/m/04ghdvq,519.1652399523696
Ellen Geer,/m/0d15j6,514.4022560995955
Rosemary Forsyth,/m/03wc_yl,487.2149103424242
Alice Barrett,/m/034dbm,422.7148169336954
Erwin Geschonneck,/m/02qyp1n,301.2587286879575
Hector Elias,/m/05pxr49,294.1142529087965
Judi Evans,/m/034c1p,289.3512690560225
Rodney A. Grant,/m/03ydsb,286.9697771296355
Hanns Zischler,/m/09k3x_,251.2473982338302
Juzo Itami,/m/02d7rn,239.33993860189514
Brandon Ratcliff,/m/0287qtg,238.33953895071076
Allen Cutler,/m/0h8pnlw,232.19546282273407
Dian Bachar,/m/05wxzz,225.05098704357303
Yoshio Harada,/m/0chg_3,214.33427337483147
Najarra Townsend,/m/0k0jn4,207.18979759567043
Ruth Chatterton,/m/0173p_,185.75637025818727
Richard Cetrone,/m/0bgcht7,183.37487833180026
Doug McGrath,/m/02r5d3j,178.61189447902623
Sirena Irwin,/m/094qth,142.88951558322097
Brad Greenquist,/m/0k1vd2,136.8494630321818
Gary Dubin,/m/02pnjkh,135.74503980405996
Brad Heller,/m/0clffnj,134.5542938408664
Graham McNamee,/m/07g4h_,114.47156341685647
Liam Waite,/m/0ks8b0,113.61087497011317
Jeff Juday,/m/0ddztn,109.38362917317545
Kazuko Yoshiyuki,/m/05zs55n,107.87295199182465
Sam Maccarone,/m/03cxtgs,106.8615215007365
Frank Krog,/m/053j7xf,105.57778280050923
Robert Catrini,/m/0gbxsl5,96.64292236607264
Kyle McCulloch,/m/02cm2m,89.79849461021573
Aleksandr Novikov,/m/0g4_nb_,88.93780616347244
Cliff DeYoung,/m/07jbhb,86.9878848801727
Colette Kilroy,/m/0bg70sm,72.29782952643566
Kimmy Suzuki,/m/0gdk_8f,70.00266033512025
JoNell Kennedy,/m/0g98ds4,69.71576418620583
Rick Edelstein,/m/0bgcj4f,67.44004558125748
Carlie Westerman,/m/0jtg3n,67.42059499489041
Kristin Kajander,/m/0gct1by,66.18952560763174
Hildy Brooks,/m/0gc9cpb,62.54336046334515
Julia Granstrom,/m/08w75d,46.477176124137216
Natasha Slayton,/m/026zpch,46.477176124137216
J. Patrick McCormack,/m/03z8yd9,41.88683774150637
Vidar Sandem,/m/0bwh7d8,41.88683774150637
Chris Krisea,/m/0gcdnn4,0.0
Tsifan Kyriya,/m/0g4_ncv,0.0
Nikolai Batalov,/m/0jt1lz,0.0
Georgiy Zhzhonov,/m/07kt8y,0.0
Ekaterina Zelyonaya,/m/09rnmn,0.0
Regina Yanushkevich,/m/0g4_nd0,0.0
Vladimir Uralsky,/m/0jt1q2,0.0
Viktor Lazarev,/m/0g4_ncy,0.0
Shin Kishida,/m/03ccs9p,0.0
Bozhak Besprizornykh,/m/0g4_ncr,0.0
Vladimir Vesnovsky,/m/0g4_ncc,0.0
Mariya Andropova,/m/0g4_nc5,0.0
Mikhail Zharov,/m/07m08h,0.0
Mikhail Dzhagofarov,/m/0g4_nbq,0.0
Yvan Kyrlya,/m/05zqdwf,0.0
James Kayten,/m/0g98dwd,0.0
Mariya Gonfa,/m/0g4_nck,0.0